"Year","Geography","Geography.Type","Geography.Note","Data.Type","Total.Violent.Criminal.Code.Violations","Homicide","Murder..First.degree","Murder..Second.degree","Manslaughter","Total.other.violations.causing.death","Attempted.Murder","Sexual.Assault..Level.3..Aggravated","Sexual.Assault..Level.2..with.a.Weapon.or.Bodily.Harm","Sexual.Assault..Level.1","Total.Sexual.Violations.Against.Children","Luring.a.child.via.a.computer","Assault..Level.3..Aggravated","Assault..Level.2..with.Weapon.or.Causing.Bodily.Harm","Assault..Level.1","Assault.Peace.Officer","Total.Other.Assaults","Total.Firearms..use.of...discharge..pointing","Total.Robbery","Total.forcible.confinement.or.kidnapping","Total.Abduction","Extortion","Criminal.Harassment","Uttering.Threats","Threatening.or.Harassing.Phone.Calls","Total.Other.Violent.Violations","Total.Property.Crime.Violations","Total.Breaking.And.Entering","Possession.of.Stolen.Property","Total.Theft.of.Motor.Vehicle","Theft.of.Motor.Vehicle.Over..5.000","Theft.of.Motor.Vehicle..5.000.or.Under","Total.Theft.Over..5.000","Theft.Over..5.000..non.motor.vehicle.","Theft.Over..5.000.from.a.motor.vehicle","Shoplifting.Over..5.000","Total.Theft.Under..5.000","Theft..5.000.or.under..non.motor.vehicle.","Theft..5.000.or.under.from.a.motor.vehicle","Shoplifting..5.000.or.Under","Fraud","Identity.Theft","Identity.Fraud","Total.Mischief","Arson","Total.Other.Criminal.Code.Violations","Counterfeiting","Total.weapons.violations","Possession.of.weapons","Firearms.documentation.or.administration","Child.pornography","Total.prostitution","Disturb.the.peace","Total.administration.of.justice.violations","Fail.to.comply.with.order","Prisoner.unlawfully.at.large","Fail.to.appear","Breach.of.probation","Other.violations.against.the.administration.of.law.and.justice","Total.other.violations","Indecent.acts","Obstruct.public.or.peace.officer","Trespass.at.night","Utter.threats.to.property.or.animal","Firearms.and.other.offensive.weapons","Proceeds.of.crime","Total.Criminal.Code.Traffic.Violations","Total.Impaired.Driving","Impaired.Operation..Causing.Death","Impaired.Operation..Causing.Bodily.Harm","Impaired.Operation.of.Motor.Vehicle..Vessel.or.Aircraft","Impaired.Operation..Drugs..Vehicle..Vessel.or.Aircraft","Impaired.Operation..Failure.to.Provide.Beath.Sample","Failure.to.Comply.or.Refusal..Drugs.","Impaired.Operation..Failure.to.Provide.Blood.Sample","Failure.to.Provide.Blood.Sample..Drugs.","Total.Other.Criminal.Code.Traffic.Violations","Dangerous.Operation..Causing.Death","Dangerous.Operation..Causing.Bodily.Harm","Dangerous.Operation.of.Motor.Vehicle..Vessel.or.Aircraft","Dangerous.Operation.Evading.Police..Causing.Death","Dangerous.Operation.Evading.Police..Causing.Bodily.Harm","Dangerous.Operation.of.Motor.Vehicle.Evading.Police","Failure.to.Stop.or.Remain","Driving.While.Prohibited","Other.Criminal.Code.Traffic.Violations","Causing.Bodily.Harm.by.Criminal.Negligence.While.Street.Racing","Dangerous.Operation.Causing.Death.While.Street.Racing","Dangerous.Operation.Causing.Bodily.Harm.While.Street.Racing","Dangerous.Operation.of.Motor.Vehicle.While.Street.Racing","Total.Federal.Statute.Violations","Posession..Cannabis","Possession..Cocaine","Total..Possession..Other.Controlled.Drugs.and.Substances.Act.Drugs","Total.Cannabis..Trafficking..Production.or.Distribution","Total.Cocaine..Trafficking..Production.or.Distribution","Total.Other.Controlled.Drugs.and.Substances.Act.Drugs..Trafficking..Production.or.Distribution","Youth.Criminal.Justice.Act","Total.Other.Federal.Statutes","Bankruptcy.Act","Income.Tax.Act","Canada.Shipping.Act","Canada.Health.Act","Customs.Act","Competition.Act","Excise.Act","Immigration...Refugee.Protection.Act","Firearms.Act","National.Defense.Act","Other.Federal.Statutes"
"2006","Labrador West, R.N.C.","Police Region","","actual_incidents","113","0","0","0","0","0","0","0","0","7","0","0","0","4","58","0","4","0","0","1","0","0","0","31","7","1","187","32","1","11","0","6","2","2","0","0","53","44","6","3","8","0","0","79","1","46","0","1","0","0","2","0","10","30","12","0","1","16","1","3","0","0","1","0","2","0","28","27","0","2","21","0","4","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","16","2","2","0","1","0","1","9","1","0","0","0","0","0","0","1","0","0","0","0"
"2006","Corner Brook, R.N.C.","Police Region","The Corner Brook RNC region includes the municipality of Corner Brook only.","actual_incidents","229","1","0","1","0","0","0","0","0","10","0","0","1","25","108","4","0","1","4","1","1","0","5","55","11","2","625","75","5","9","0","83","3","3","0","0","307","129","83","95","67","0","0","159","0","178","0","5","0","5","4","0","57","100","63","2","4","23","5","12","2","1","0","0","0","4","30","27","0","0","25","0","2","0","0","0","3","0","0","1","0","0","0","0","2","0","0","0","0","0","116","45","1","0","16","3","0","48","3","0","0","0","0","0","0","1","0","2","0","0"
"2006","Northeast Avalon R.N.C","Police Region","","actual_incidents","2144","1","0","1","0","0","1","0","2","107","0","0","6","247","912","29","0","16","110","6","1","3","65","596","40","2","9120","1830","84","408","7","1766","27","18","7","2","3921","1343","1766","812","639","0","0","2116","95","926","2","68","28","27","14","4","64","633","412","19","24","81","96","141","40","9","4","0","1","27","357","294","0","4","279","0","11","0","0","0","63","0","0","5","0","0","24","2","32","0","0","0","0","0","413","110","18","10","42","18","12","46","157","0","0","0","0","0","0","60","1","0","0","96"
"2006","Labrador District, RCMP","Police Region","","actual_incidents","1211","1","0","1","0","0","1","2","3","73","0","0","10","126","735","29","3","0","4","11","0","0","12","145","51","5","3126","361","23","71","0","27","6","6","0","0","251","223","27","1","34","0","0","2369","11","1428","1","3","3","0","2","0","1118","264","178","2","1","58","16","40","0","6","4","0","2","0","189","169","1","0","166","0","2","0","0","0","20","0","1","5","0","0","1","6","7","0","0","0","0","0","76","28","3","3","7","9","3","6","17","0","0","0","0","0","0","1","0","5","0","11"
"2006","Northern Peninsula District, RCMP","Police Region","","actual_incidents","97","0","0","0","0","0","0","0","0","9","0","0","0","8","43","4","0","0","0","1","0","0","2","20","7","3","150","31","1","2","0","1","2","2","0","0","22","21","1","0","7","0","0","83","2","39","0","3","2","0","1","0","14","15","4","0","1","5","4","6","1","2","0","0","2","0","29","24","0","0","24","0","0","0","0","0","5","0","0","1","0","0","0","4","0","0","0","0","0","0","11","6","0","0","2","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2006","Deer Lake District, RCMP","Police Region","","actual_incidents","268","0","0","0","0","0","0","0","0","16","0","0","0","29","117","1","0","1","0","3","0","0","9","54","36","2","552","123","4","12","1","17","2","1","1","0","114","94","17","3","19","0","0","275","3","178","1","6","5","0","0","0","90","65","40","0","0","22","3","16","1","0","2","0","3","1","84","63","0","2","58","0","2","0","1","0","21","0","2","8","0","0","1","8","2","0","0","0","0","0","43","15","0","1","11","1","2","1","12","0","0","1","0","0","0","5","0","0","0","6"
"2006","Bay St. George District, RCMP","Police Region","","actual_incidents","476","0","0","0","0","0","1","0","1","16","0","0","0","42","206","8","1","0","3","2","1","0","16","122","50","7","1290","189","14","26","1","74","7","6","1","0","342","245","74","23","36","0","0","661","15","384","1","7","4","0","2","0","204","121","77","0","3","35","5","49","5","4","2","0","3","2","121","78","0","1","71","0","6","0","0","0","43","0","3","6","0","0","3","29","2","0","0","0","0","0","102","23","0","5","19","6","2","8","39","0","0","0","0","0","0","17","0","5","0","17"
"2006","Grand Falls-Windsor District, RCMP","Police Region","","actual_incidents","491","2","2","0","0","1","0","0","1","17","0","0","1","33","214","4","0","1","4","10","0","1","7","135","56","4","1237","264","10","19","1","101","4","3","1","0","430","296","101","33","40","0","0","465","5","266","0","4","3","0","0","0","176","56","34","0","1","16","4","30","4","0","6","0","1","0","82","59","0","1","57","0","1","0","0","0","23","0","0","6","0","0","3","11","3","0","0","0","0","0","68","17","0","10","6","4","2","7","22","0","0","9","0","3","0","4","0","1","0","5"
"2006","Gander-Lewisporte District, RCMP","Police Region","","actual_incidents","420","0","0","0","0","0","0","0","0","30","0","0","0","33","183","4","0","0","1","3","0","1","10","96","59","0","895","157","8","31","1","72","5","4","1","0","294","199","72","23","43","0","0","354","3","211","0","7","4","0","1","0","128","45","25","0","1","11","8","30","3","2","8","0","2","0","102","78","0","2","68","0","8","0","0","0","24","0","0","6","0","0","1","11","6","0","0","0","0","0","121","18","1","2","22","6","7","0","65","0","0","38","0","0","0","13","0","0","0","14"
"2006","Clarenville-Bonavista District, RCMP","Police Region","","actual_incidents","252","1","1","0","0","0","0","0","0","20","0","0","0","10","117","2","2","0","3","0","0","0","4","58","33","2","458","80","6","10","0","16","3","3","0","0","109","86","16","7","30","0","0","219","1","144","1","2","2","0","0","0","87","39","14","0","2","17","6","15","1","2","1","0","1","1","91","75","0","1","73","0","1","0","0","0","16","0","0","2","0","0","5","8","1","0","0","0","0","0","71","26","0","4","13","3","5","3","17","0","0","1","0","1","0","2","0","4","0","9"
